"CDMX Doméstica Única 2004",1,2,1,0,0,0,0.16,"MXN",2004,0,"ok",0
0,10,20,30,50,70,90,120,180,240,420,660,960,1500
13.23,13.23,28.73,46.83,115.83,204.03,342.23,674.03,1566.83,2852.03,7283.63,14169.23,23472.23,0
13.23,0,1.55,1.81,3.45,4.41,6.91,11.06,14.88,21.42,24.62,28.69,31.01,35.65
"CDMX No Doméstica 2004",1,2,1,0,0,0,0.16,"MXN",2004,0,"ok",-1
0,10,20,30,60,90,120,240,420,660,960,1500,5000
79.43,79.43,158.78,238.22,592.22,1052.42,1619.42,4311.02,8985.619999999999,16068.02,26037.019999999997,46130.42,0
79.43,0,7.935,7.944,11.8,15.34,18.9,22.43,25.97,29.51,33.23,37.21,38.18
"CDMX Doméstica Única 2005",1,2,1,0,0,0,0.16,"MXN",2005,0,"ok",0
0,10,20,30,50,70,90,120,180,240,420,660,960,1500,2000
13.95,13.95,29.95,49.05,121.45,213.85,359.65000000000003,709.1500000000001,1649.3500000000001,3002.35,7667.95,14925.55,24720.55,45013.75,0
13.95,0,1.6,1.91,3.62,4.62,7.29,11.65,15.67,22.55,25.92,30.24,32.65,37.58,41.34
"CDMX No Doméstica 2005",1,2,1,0,0,0,0.16,"MXN",2005,0,"ok",-1
0,10,20,30,60,90,120,240,420,660,960,1500,5000
90.31,90.31,173.97,257.73,630.03,1115.13,1712.13,4545.330000000001,9473.73,16935.33,27438.33,48622.53,0
90.31,0,8.366,8.376,12.41,16.17,19.9,23.61,27.38,31.09,35.01,39.23,40.23
"CDMX Doméstica Única 2006",1,2,1,0,0,0,0.16,"MXN",2006,0,"ok",0
0,10,20,30,50,70,90,120,180,240,420,660,960,1500,2000
14.52,14.52,31.119999999999997,50.92,126.32000000000001,222.52,374.32,738.22,1716.82,3125.62,7983.82,15541.419999999998,25741.42,46871.619999999995,0
14.52,0,1.66,1.98,3.77,4.81,7.59,12.13,16.31,23.48,26.99,31.49,34,39.13,43.05
"CDMX No Doméstica 2006",1,2,1,0,0,0,0.16,"MXN",2006,0,"ok",-1
0,10,20,30,60,90,120,240,420,660,960,1500,5000
90.31,90.31,177.43,264.66,652.26,1157.46,1779.06,4728.660000000001,9860.460000000001,17629.260000000002,28567.260000000002,50626.259999999995,0
90.31,0,8.712,8.723,12.92,16.84,20.72,24.58,28.51,32.37,36.46,40.85,41.89
"CDMX Doméstica Única 2007",1,2,1,0,0,0,0.16,"MXN",2007,0,"ok",0
0,10,20,30,50,70,90,120,180,240,420,660,960,1500,2000
15.04,15.04,32.239999999999995,52.74,130.74,230.34,387.54,764.3399999999999,1777.74,3236.94,8267.94,16094.34,26657.34,48538.14000000001,0
15.04,0,1.72,2.05,3.9,4.98,7.86,12.56,16.89,24.32,27.95,32.61,35.21,40.52,44.58
"CDMX No Doméstica 2007",1,2,1,0,0,0,0.16,"MXN",2007,0,"ok",-1
0,10,20,30,60,90,120,240,420,660,960,1500,5000
90.31,90.31,180.51,270.81,672.21,1195.41,1839.21,4894.410000000001,10208.01,18252.81,29580.81,52422.81,0
90.31,0,9.02,9.03,13.38,17.44,21.46,25.46,29.52,33.52,37.76,42.3,43.38
"CDMX Doméstica Única 2008",1,2,1,0,0,0,0.16,"MXN",2008,0,"ok",0
0,10,20,30,50,70,90,120,180,240,420,660,960,1500,2000
15.64,15.64,33.54,67.34,200.33999999999997,393.34,692.74,1243.8400000000001,2702.44,4462.840000000001,11207.439999999999,20663.44,32993.44,56008.240000000005,0
15.64,0,1.79,3.38,6.65,9.65,14.97,18.37,24.31,29.34,37.47,39.4,41.1,42.62,43.99
"CDMX No Doméstica 2008",1,2,1,0,0,0,0.16,"MXN",2008,0,"ok",-1
0,10,20,30,60,90,120,240,420,660,960,1500,5000
93.92,93.92,187.82,381.72,1138.92,2020.6200000000001,2998.92,7228.92,13973.519999999999,23429.519999999997,35759.52,58774.31999999999,0
93.92,0,9.39,19.39,25.24,29.39,32.61,35.25,37.47,39.4,41.1,42.62,43.99
"CDMX Doméstica Única 2009",1,2,1,0,0,0,0.16,"MXN",2009,0,"ok",0
0,10,20,30,50,70,90,120,180,240,420,660,960,1500,2000
16.61,16.61,35.61,71.50999999999999,212.70999999999998,417.71000000000004,735.71,1321.01,2870.2100000000005,4740.41,11904.41,21948.41,35046.409999999996,59497.61,0
16.61,0,1.9,3.59,7.06,10.25,15.9,19.51,25.82,31.17,39.8,41.85,43.66,45.28,46.73
"CDMX No Doméstica 2009",1,2,1,0,0,0,0.16,"MXN",2009,0,"ok",-1
0,10,20,30,60,90,120,240,420,660,960,1500,5000
99.77,99.77,199.47,405.46999999999997,1209.77,2146.37,3185.57,7679.570000000001,14843.57,24887.57,37985.56999999999,62436.77,0
99.77,0,9.97,20.6,26.81,31.22,34.64,37.45,39.8,41.85,43.66,45.28,46.73
"CDMX Doméstica Alta 2010",1,2,1,0,0,0,0.16,"MXN",2010,0,"ok",9
0,15,20,30,40,50,70,90,120,1000
135,135.,211.,363.1,515.3000000000001,667.6000000000001,1132.,1732.,2932.,0
135,0,15.2,15.21,15.22,15.23,23.22,30,40,40
"CDMX Doméstica Baja 2010",1,2,1,0,0,0,0.16,"MXN",2010,0,"ok",3
0,15,20,30,40,50,70,90,120,1000
34,34.,63.,133.,203.1,345.,765.,1225.,2425.,0
34,0,5.8,7,7.01,14.19,21,23,40,40
"CDMX Doméstica Media 2010",1,2,1,0,0,0,0.16,"MXN",2010,0,"ok",7
0,15,20,30,40,50,70,90,120,1000
112.5,112.5,185.,330.1,475.29999999999995,620.5999999999999,1075.,1675.,2875.,0
112.5,0,14.5,14.51,14.52,14.53,22.72,30,40,40
"CDMX Doméstica Popular 2010",1,2,1,0,0,0,0.16,"MXN",2010,0,"ok",1
0,15,20,30,40,50,70,90,120,1000
30,30.,43.,83.,161.,239.1,657.1,1117.1,2317.1,0
30,0,2.6,4,7.8,7.81,20.9,23,40,40
"CDMX No Doméstica 2010",1,2,1,0,0,0,0.16,"MXN",2010,0,"ok",-1
0,10,20,30,50,70,90,120,1000
135,135,275.,529.8,1109.8,1768.8,2468.8,3668.8,0
135,0,14,25.48,29,32.95,35,40,63
"CDMX Doméstica Alta 2011",1,2,1,0,0,0,0.16,"MXN",2011,0,"ok",9
0,15,20,30,40,50,70,90,120,1000
140.51,140.51,219.60999999999999,377.90999999999997,536.31,694.81,1178.21,1802.61,3051.51,0
140.51,0,15.82,15.83,15.84,15.85,24.17,31.22,41.63,41.63
"CDMX Doméstica Baja 2011",1,2,1,0,0,0,0.16,"MXN",2011,0,"ok",3
0,15,20,30,40,50,70,90,120,1000
35.39,35.39,65.59,138.49,211.49,359.19,796.39,1275.19,2524.0899999999997,0
35.39,0,6.04,7.29,7.3,14.77,21.86,23.94,41.63,41.63
"CDMX Doméstica Media 2011",1,2,1,0,0,0,0.16,"MXN",2011,0,"ok",7
0,15,20,30,40,50,70,90,120,1000
117.09,117.09,192.54000000000002,343.53999999999996,494.64,645.84,1118.84,1743.24,2992.1400000000003,0
117.09,0,15.09,15.1,15.11,15.12,23.65,31.22,41.63,41.63
"CDMX Doméstica Popular 2011",1,2,1,0,0,0,0.16,"MXN",2011,0,"ok",1
0,15,20,30,40,50,70,90,120,1000
31.22,31.22,44.769999999999996,86.37,167.57,248.87,683.87,1162.67,2411.57,0
31.22,0,2.71,4.16,8.12,8.13,21.75,23.94,41.63,41.63
"CDMX No Doméstica 2011",1,2,1,0,0,0,0.16,"MXN",2011,0,"ok",-1
0,10,20,30,50,70,90,120,1000
140.51,140.51,286.21,551.41,1155.01,1840.81,2569.41,3818.3100000000004,0
140.51,0,14.57,26.52,30.18,34.29,36.43,41.63,65.57
"CDMX Doméstica Alta 2012",1,2,1,0,0,0,0.16,"MXN",2012,0,"ok",9
0,15,20,30,40,50,70,90,120,1000
145.57,145.57,227.51999999999998,391.52,555.6199999999999,719.8199999999999,1220.62,1867.4199999999998,3161.32,0
145.57,0,16.39,16.4,16.41,16.42,25.04,32.34,43.13,43.13
"CDMX Doméstica Baja 2012",1,2,1,0,0,0,0.16,"MXN",2012,0,"ok",3
0,15,20,30,40,50,70,90,120,1000
36.66,36.66,67.96,143.45999999999998,219.05999999999997,372.05999999999995,825.06,1321.0600000000002,2614.96,0
36.66,0,6.26,7.55,7.56,15.3,22.65,24.8,43.13,43.13
"CDMX Doméstica Media 2012",1,2,1,0,0,0,0.16,"MXN",2012,0,"ok",7
0,15,20,30,40,50,70,90,120,1000
121.31,121.31,199.46,355.86,512.36,668.96,1158.96,1805.7600000000002,3099.6600000000003,0
121.31,0,15.63,15.64,15.65,15.66,24.5,32.34,43.13,43.13
"CDMX Doméstica Popular 2012",1,2,1,0,0,0,0.16,"MXN",2012,0,"ok",1
0,15,20,30,40,50,70,90,120,1000
32.34,32.34,46.39,89.49,173.59,257.78999999999996,708.39,1204.3899999999999,2498.29,0
32.34,0,2.81,4.31,8.41,8.42,22.53,24.8,43.13,43.13
"CDMX No Doméstica 2012",1,2,1,0,0,0,0.16,"MXN",2012,0,"ok",-1
0,10,20,30,50,70,90,120,1000
80.87,80.87,161.77,300.27,623.6700000000001,1270.4700000000003,2025.27,3319.17,0
80.87,0,8.09,13.85,16.17,32.34,37.74,43.13,67.93
"CDMX Doméstica Alta 2013",1,2,1,0,0,0,0.16,"MXN",2013,0,"ok",9
0,15,20,30,40,50,70,90,120,1000
151.58,151.58,236.88,407.58000000000004,578.48,749.48,1270.8799999999999,1944.48,3291.7799999999997,0
151.58,0,17.06,17.07,17.09,17.1,26.07,33.68,44.91,70.74
"CDMX Doméstica Baja 2013",1,2,1,0,0,0,0.16,"MXN",2013,0,"ok",3
0,15,20,30,40,50,70,90,120,1000
38.18,38.18,70.72999999999999,149.33,228.03000000000003,387.33000000000004,858.93,1375.3300000000002,2722.6299999999997,0
