sistema,tarifa,año,q,p,tipo de tarifa,frecuencia,notas
CDMX,CDMX Doméstica Única 2004,2004,0,13.23,1,2,CDMX Doméstica Única
CDMX,CDMX Doméstica Única 2004,2004,10,0,1,2,CDMX Doméstica Única
CDMX,CDMX Doméstica Única 2004,2004,20,1.55,1,2,CDMX Doméstica Única
CDMX,CDMX Doméstica Única 2004,2004,30,1.81,1,2,CDMX Doméstica Única
CDMX,CDMX Doméstica Única 2004,2004,50,3.45,1,2,CDMX Doméstica Única
CDMX,CDMX Doméstica Única 2004,2004,70,4.41,1,2,CDMX Doméstica Única
CDMX,CDMX Doméstica Única 2004,2004,90,6.91,1,2,CDMX Doméstica Única
CDMX,CDMX Doméstica Única 2004,2004,120,11.06,1,2,CDMX Doméstica Única
CDMX,CDMX Doméstica Única 2004,2004,180,14.88,1,2,CDMX Doméstica Única
CDMX,CDMX Doméstica Única 2004,2004,240,21.42,1,2,CDMX Doméstica Única
CDMX,CDMX Doméstica Única 2004,2004,420,24.62,1,2,CDMX Doméstica Única
CDMX,CDMX Doméstica Única 2004,2004,660,28.69,1,2,CDMX Doméstica Única
CDMX,CDMX Doméstica Única 2004,2004,960,31.01,1,2,CDMX Doméstica Única
CDMX,CDMX Doméstica Única 2004,2004,1500,35.65,1,2,CDMX Doméstica Única
CDMX,CDMX No Doméstica 2004,2004,0,79.43,1,2,CDMX No Doméstica
CDMX,CDMX No Doméstica 2004,2004,10,0,1,2,CDMX No Doméstica
CDMX,CDMX No Doméstica 2004,2004,20,7.935,1,2,CDMX No Doméstica.  Error en código financiero
CDMX,CDMX No Doméstica 2004,2004,30,7.944,1,2,CDMX No Doméstica.  Error en código financiero
CDMX,CDMX No Doméstica 2004,2004,60,11.8,1,2,CDMX No Doméstica
CDMX,CDMX No Doméstica 2004,2004,90,15.34,1,2,CDMX No Doméstica
CDMX,CDMX No Doméstica 2004,2004,120,18.9,1,2,CDMX No Doméstica
CDMX,CDMX No Doméstica 2004,2004,240,22.43,1,2,CDMX No Doméstica
CDMX,CDMX No Doméstica 2004,2004,420,25.97,1,2,CDMX No Doméstica
CDMX,CDMX No Doméstica 2004,2004,660,29.51,1,2,CDMX No Doméstica
CDMX,CDMX No Doméstica 2004,2004,960,33.23,1,2,CDMX No Doméstica
CDMX,CDMX No Doméstica 2004,2004,1500,37.21,1,2,CDMX No Doméstica
